"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL3604466";"";"None";"386.28";"0";"1.76";"ZK-304709";"C[C@H](CO)Nc1nc(Nc2ccc([S+](N)[O-])cc2)ncc1Br";"IC50";"'='";"514.0";"nM";"6.29";"";"";"UO_0000065";"16.28";"0.39";"4.53";"5.28";"0";"CHEMBL3607093";"Inhibition of carbonic anhydrase-2 (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3603804";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2015";"None";"";"";"";"514.0"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"Acetazolamide";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"6.7";"nM";"8.17";"";"";"UO_0000065";"36.78";"0.86";"9.03";"7.11";"0";"CHEMBL4035707";"Inhibition of carbonic anhydrase-2 in human erythrocyte membranes assessed as reduction in H+ release using CO2 as substrate by bromine thymol blue indicator based assay";"B";"BAO_0000249";"cell membrane format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033689";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"6.7"
"CHEMBL3092996";"";"None";"244.27";"0";"-0.38";"5";"NS(=O)(=O)NCC1COc2ccccc2O1";"IC50";"'='";"130000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3097934";"Inhibition of human carbonic anhydrase 2 by CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3091339";"1";"Scientific Literature";"J Med Chem";"2013";"None";"";"";"";"130.0"
"CHEMBL2019142";"";"None";"267.28";"0";"3.05";"9";"COc1ccc(-c2c(N)oc3ccccc3c2=O)cc1";"IC50";"'='";"6510.0";"nM";"5.19";"";"";"UO_0000065";"19.40";"0.35";"2.14";"7.92";"0";"CHEMBL2019838";"Inhibition of cytosolic human carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016452";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"6.51"
"CHEMBL2019144";"";"None";"301.73";"0";"3.70";"11";"COc1ccc(-c2c(N)oc3cc(Cl)ccc3c2=O)cc1";"IC50";"'='";"8070.0";"nM";"5.09";"";"";"UO_0000065";"16.88";"0.33";"1.39";"7.78";"0";"CHEMBL2019838";"Inhibition of cytosolic human carbonic anhydrase 2 preincubated for 15 mins by stopped flow CO2 hydration assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2016452";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";"";"";"8.07"
"CHEMBL555355";"";"None";"402.93";"0";"1.46";"16h";"Cl.NS(=O)(=O)c1cc(C(=O)c2cccc(CN3CCOCC3)c2)cs1";"IC50";"'='";"5.0";"nM";"8.30";"";"";"UO_0000065";"22.65";"0.47";"6.84";"9.25";"0";"CHEMBL656569";"Inhibition of human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125318";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"5E-9"
"CHEMBL17";"DICHLORPHENAMIDE";"4.0";"305.16";"0";"0.29";"Dichlorophenamide";"NS(=O)(=O)c1cc(Cl)c(Cl)c(S(N)(=O)=O)c1";"IC50";"'='";"40.0";"nM";"7.40";"";"";"UO_0000065";"24.24";"0.63";"7.11";"6.15";"1";"CHEMBL656570";"50% inhibition of human carbonic anhydrase II assayed by CO2 hydration catalyzed by human erythrocytes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124376";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"40.0"
"CHEMBL420961";"";"None";"360.42";"0";"2.56";"35";"NS(=O)(=O)c1nc2ccc(OC(=O)/C=C/c3ccccc3)cc2s1";"IC50";"'='";"15.0";"nM";"7.82";"";"";"UO_0000065";"21.71";"0.45";"5.26";"7.88";"0";"CHEMBL656575";"In vitro inhibitory activity against human Carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124628";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"1.5E-8"
"CHEMBL44238";"";"None";"262.40";"0";"1.85";"23";"CCCCNC(C)c1csc(S(N)(=O)=O)c1";"IC50";"'='";"590.0";"nM";"6.23";"";"";"UO_0000065";"23.74";"0.53";"4.38";"8.63";"0";"CHEMBL656581";"Activity against human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127528";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"590.0"
"CHEMBL42425";"";"None";"290.41";"0";"2.54";"19";"CCCCCC/C(=N\O)c1csc(S(N)(=O)=O)c1";"IC50";"'='";"5.8";"nM";"8.24";"";"";"UO_0000065";"28.36";"0.62";"5.70";"8.88";"0";"CHEMBL656581";"Activity against human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127528";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"5.8"
"CHEMBL543561";"";"None";"358.89";"0";"0.05";"41";"Cl.NS(=O)(=O)c1cc2cc(CNC(CO)CO)sc2s1";"IC50";"'='";"8.4";"nM";"8.08";"";"";"UO_0000065";"25.05";"0.58";"8.03";"7.17";"0";"CHEMBL656579";"In vitro inhibitory activity against human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125927";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"8.4E-9"
"CHEMBL120409";"";"None";"216.22";"0";"-0.86";"NRB01507";"NN1Nc2cc(S(N)(=O)=O)ccc2O1";"IC50";"'='";"436515832240166.56";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL658951";"Binding activity against human Carbonic anhydrase II (hCAII)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135542";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"5.64"
"CHEMBL544826";"";"None";"425.00";"0";"2.12";"24g";"CCC(C)NCc1cccc(S(=O)(=O)c2csc(S(N)(=O)=O)c2)c1.Cl";"IC50";"'='";"26.0";"nM";"7.58";"";"";"UO_0000065";"19.52";"0.43";"5.47";"7.13";"0";"CHEMBL656569";"Inhibition of human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125318";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"2.6E-8"
"CHEMBL120418";"";"None";"249.34";"0";"1.07";"VTS";"NS(=O)(=O)c1cc2c(s1)C(=O)CCS2";"IC50";"'='";"3.5";"nM";"8.46";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL657921";"Inhibitory activity towards Carbonic anhydrase II";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135542";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"3.5"
"CHEMBL3746142";"";"None";"560.32";"1";"3.82";"16";"NC(=O)c1c(Nc2ccc(I)cc2F)cc(F)cc1Oc1ccccc1NS(N)(=O)=O";"IC50";"'='";"500.0";"nM";"6.30";"";"";"UO_0000065";"11.25";"0.28";"2.48";"4.61";"0";"CHEMBL3750091";"Inhibition of human carbonic anhydrase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745607";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";"0.5"
"CHEMBL3746640";"";"None";"592.34";"1";"3.64";"28; BAY-438";"NC(=O)c1c(Oc2cccc(CNS(N)(=O)=O)c2)cc(F)c(F)c1Nc1ccc(I)cc1F";"IC50";"'='";"5000.0";"nM";"5.30";"";"";"UO_0000065";"8.95";"0.22";"1.66";"3.88";"0";"CHEMBL3750091";"Inhibition of human carbonic anhydrase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745607";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";"5.0"
"CHEMBL20";"ACETAZOLAMIDE";"4.0";"222.25";"0";"-0.86";"Acetazolamide";"CC(=O)Nc1nnc(S(N)(=O)=O)s1";"IC50";"'='";"3.4";"nM";"8.47";"";"";"UO_0000065";"";"";"";"";"1";"CHEMBL657921";"Inhibitory activity towards Carbonic anhydrase II";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135542";"1";"Scientific Literature";"J Med Chem";"2002";"None";"";"";"";"3.4"
"CHEMBL544129";"";"None";"460.00";"0";"1.91";"24e";"Cl.NS(=O)(=O)c1cc(S(=O)(=O)c2ccc(CNCc3ccccn3)cc2)cs1";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"19.12";"0.41";"6.19";"6.79";"0";"CHEMBL656569";"Inhibition of human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125318";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"8E-9"
"CHEMBL4591628";"";"None";"304.39";"0";"3.91";"1k";"CS(=O)(=O)Oc1ccc(-c2ccc3sccc3c2)cc1";"IC50";"'='";"1500.0";"nM";"5.82";"";"";"UO_0000065";"19.13";"0.40";"1.91";"13.43";"0";"CHEMBL4396670";"Inhibition of human recombinant N-HA-tagged carbonic anhydrase 2 expressed in HEK293T cells using p-nitrophenyl acetate as substrate measured after 30 mins by colorimetric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393733";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";"";"";"";"1.5"
"CHEMBL4532237";"";"None";"319.41";"0";"3.41";"1s";"CNS(=O)(=O)Oc1ccc(-c2ccc3sccc3c2)cc1";"IC50";"'='";"1210.0";"nM";"5.92";"";"";"UO_0000065";"18.53";"0.38";"2.51";"10.68";"0";"CHEMBL4396670";"Inhibition of human recombinant N-HA-tagged carbonic anhydrase 2 expressed in HEK293T cells using p-nitrophenyl acetate as substrate measured after 30 mins by colorimetric analysis";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4393733";"1";"Scientific Literature";"Bioorg Med Chem";"2019";"None";"";"";"";"1.21"
"CHEMBL4073678";"";"None";"480.53";"0";"4.69";"4";"O=C(CSc1nnc(Nc2ccccc2)s1)N/N=C/c1ccc(-c2ccccc2[N+](=O)[O-])o1";"IC50";"'='";"0.34";"nM";"9.47";"";"";"UO_0000065";"19.70";"0.39";"4.78";"6.99";"0";"CHEMBL4035707";"Inhibition of carbonic anhydrase-2 in human erythrocyte membranes assessed as reduction in H+ release using CO2 as substrate by bromine thymol blue indicator based assay";"B";"BAO_0000249";"cell membrane format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4033689";"1";"Scientific Literature";"Bioorg Med Chem";"2017";"None";"";"";"";"0.34"
"CHEMBL84021";"";"None";"384.46";"0";"2.02";"48";"Cc1ccc(OS(=O)(=O)c2ccc3nc(S(N)(=O)=O)sc3c2)cc1";"IC50";"'='";"4.1";"nM";"8.39";"";"";"UO_0000065";"21.82";"0.48";"6.37";"7.20";"0";"CHEMBL656574";"In vitro inhibition of human Carbonic Anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124628";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"4.1E-9"
"CHEMBL4063719";"";"None";"552.63";"2";"-0.73";"14a";"COc1ccc(/C=C/C(=O)N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2NC(=S)Nc2ccc(S(N)(=O)=O)cc2)cc1";"IC50";"'='";"65.0";"nM";"7.19";"";"";"UO_0000065";"13.01";"0.27";"7.92";"3.73";"0";"CHEMBL4029563";"Inhibition of recombinant human carbonic anhydrase 2 using 4-nitrophenylacetate as substrate pretreated for 15 mins prior to test by spectrophotometric method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028809";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.065"
"CHEMBL4075581";"";"None";"552.63";"2";"-0.73";"14b";"COc1cccc(/C=C/C(=O)N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2NC(=S)Nc2ccc(S(N)(=O)=O)cc2)c1";"IC50";"'='";"45.0";"nM";"7.35";"";"";"UO_0000065";"13.29";"0.27";"8.08";"3.82";"0";"CHEMBL4029563";"Inhibition of recombinant human carbonic anhydrase 2 using 4-nitrophenylacetate as substrate pretreated for 15 mins prior to test by spectrophotometric method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028809";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.045"
"CHEMBL4075252";"";"None";"582.66";"2";"-0.73";"14d";"COc1cccc(/C=C/C(=O)N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2NC(=S)Nc2ccc(S(N)(=O)=O)cc2)c1OC";"IC50";"'='";"34.0";"nM";"7.47";"";"";"UO_0000065";"12.82";"0.26";"8.20";"3.70";"0";"CHEMBL4029563";"Inhibition of recombinant human carbonic anhydrase 2 using 4-nitrophenylacetate as substrate pretreated for 15 mins prior to test by spectrophotometric method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028809";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.034"
"CHEMBL310848";"";"None";"366.36";"0";"2.50";"51";"CCOP(=O)(OCC)Oc1ccc2nc(S(N)(=O)=O)sc2c1";"IC50";"'='";"1.8";"nM";"8.74";"";"";"UO_0000065";"23.87";"0.54";"6.24";"7.42";"0";"CHEMBL656574";"In vitro inhibition of human Carbonic Anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124628";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"1.8E-9"
"CHEMBL3415383";"";"None";"414.49";"0";"-0.35";"4a";"CCN[C@H]1CN(CCCO[N+](=O)[O-])S(=O)(=O)c2sc(S(N)(=O)=O)cc21";"IC50";"'='";"31.0";"nM";"7.51";"";"";"UO_0000065";"18.12";"0.41";"7.86";"4.64";"0";"CHEMBL3419422";"Inhibition of human carbonic anhydrase 2 assessed as reduction in enzyme activity incubated for 30 mins by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414464";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"31.0"
"CHEMBL555588";"";"None";"425.00";"0";"1.97";"24h";"CC(C)CNCc1ccccc1S(=O)(=O)c1csc(S(N)(=O)=O)c1.Cl";"IC50";"'='";"18.0";"nM";"7.75";"";"";"UO_0000065";"19.93";"0.44";"5.77";"7.28";"0";"CHEMBL656569";"Inhibition of human carbonic anhydrase II";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125318";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"1.8E-8"
"CHEMBL3402244";"";"None";"439.53";"0";"3.37";"1c";"Cc1ccc(S(=O)(=O)NC(=O)C2C(C(=O)OCc3ccccc3)[C@@H]3C=C[C@H]2CC3)cc1";"IC50";"'='";"121.5";"nM";"6.92";"";"";"UO_0000065";"15.73";"0.30";"3.55";"7.72";"0";"CHEMBL3406242";"Inhibition of human CA-2 using p-nitro-phenylacetate as substrate after 3 mins by UV-Vis spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400027";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"121.5"
"CHEMBL3402248";"";"None";"632.18";"2";"5.62";"5c";"Cc1ccc(S(=O)(=O)NC(=O)C2[C@H](C(=O)OCc3ccccc3)[C@@]3(Cl)C(Cl)=C(Cl)[C@@]2(Cl)C3(Cl)Cl)cc1";"IC50";"'='";"70.1";"nM";"7.15";"";"";"UO_0000065";"11.32";"0.27";"1.53";"7.99";"0";"CHEMBL3406242";"Inhibition of human CA-2 using p-nitro-phenylacetate as substrate after 3 mins by UV-Vis spectrophotometry";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3400027";"1";"Scientific Literature";"Bioorg Med Chem";"2015";"None";"";"";"";"70.1"
"CHEMBL86176";"";"None";"255.32";"0";"1.75";"46";"CC(=O)c1ccc2cc(S(N)(=O)=O)sc2c1";"IC50";"'='";"6.0";"nM";"8.22";"";"";"UO_0000065";"32.20";"0.70";"6.47";"10.65";"0";"CHEMBL656570";"50% inhibition of human carbonic anhydrase II assayed by CO2 hydration catalyzed by human erythrocytes";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124376";"1";"Scientific Literature";"J Med Chem";"1989";"None";"";"";"";"6.0"
"CHEMBL417656";"";"None";"361.35";"0";"-1.89";"3";"CC1(C)O[C@H]2[C@@H]3OS(=O)(=O)O[C@@H]3CO[C@@]2(COS(N)(=O)=O)O1";"IC50";"'='";"36.0";"nM";"7.44";"";"";"UO_0000065";"20.60";"0.46";"9.33";"4.97";"0";"CHEMBL657915";"Compound was tested for inhibition of human carbonic anhydrase (hCA II)";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136620";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2003";"None";"";"";"";"36.0"
"CHEMBL1055";"CHLORTHALIDONE";"4.0";"338.77";"0";"0.92";"CHLORTHALIDONE";"NS(=O)(=O)c1cc(C2(O)NC(=O)c3ccccc32)ccc1Cl";"IC50";"'='";"677.0";"nM";"6.17";"";"";"UO_0000065";"18.21";"0.38";"5.25";"5.63";"0";"CHEMBL1909123";"DRUGMATRIX: Carbonic Anhydrase II enzyme inhibition (substrate: 4-Nitrophenyl acetate (4-NPA))";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Erythrocyte";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1909046";"15";"DrugMatrix";"";"";"CHEMBL3833281";"";"";"";"0.677"
"CHEMBL165346";"";"None";"197.22";"0";"1.08";"3a";"NS(=O)(=O)c1cc2ccccc2o1";"IC50";"'='";"8.0";"nM";"8.10";"";"";"UO_0000065";"41.06";"0.85";"7.02";"11.05";"0";"CHEMBL656576";"In vitro inhibition of human carbonic anhydrase II (0.1 nM).";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124833";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"8.0"
"CHEMBL3746516";"";"None";"596.30";"1";"4.10";"5";"NC(=O)c1c(Nc2ccc(I)cc2F)cc(F)cc1Oc1ccc(F)c(NS(N)(=O)=O)c1F";"IC50";"'='";"10000.0";"nM";"5.00";"";"";"UO_0000065";"8.39";"0.21";"0.90";"3.66";"0";"CHEMBL3750091";"Inhibition of human carbonic anhydrase 2";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3745607";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2016";"None";"";"";"";"10.0"
"CHEMBL4746908";"";"None";"495.61";"0";"2.02";"3c";"NS(=O)(=O)c1ccc(NC(=O)CSC(=S)N2CCN(c3ccc([N+](=O)[O-])cc3)CC2)cc1";"IC50";"'='";"2234.0";"nM";"5.65";"";"";"UO_0000065";"11.40";"0.24";"3.63";"4.07";"0";"CHEMBL4687105";"Inhibition of human erythrocyte CA2 using 4-nitrophenyl acetate as substrate by spectrophotometry";"B";"BAO_0000221";"tissue-based format";"Homo sapiens";"None";"None";"Erythrocyte";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4680258";"1";"Scientific Literature";"Eur J Med Chem";"2020";"None";"";"INHIBITOR";"";"2.234"
"CHEMBL4103517";"";"None";"582.66";"2";"-0.73";"14e";"COc1ccc(/C=C/C(=O)N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2NC(=S)Nc2ccc(S(N)(=O)=O)cc2)c(OC)c1";"IC50";"'='";"25.0";"nM";"7.60";"";"";"UO_0000065";"13.05";"0.27";"8.33";"3.77";"0";"CHEMBL4029563";"Inhibition of recombinant human carbonic anhydrase 2 using 4-nitrophenylacetate as substrate pretreated for 15 mins prior to test by spectrophotometric method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028809";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.025"
"CHEMBL4096770";"";"None";"612.68";"3";"-0.72";"14g";"COc1cc(/C=C/C(=O)N[C@@H]2[C@@H](O)[C@H](O)[C@@H](CO)O[C@H]2NC(=S)Nc2ccc(S(N)(=O)=O)cc2)cc(OC)c1OC";"IC50";"'='";"55.0";"nM";"7.26";"";"";"UO_0000065";"11.85";"0.24";"7.98";"3.44";"0";"CHEMBL4029563";"Inhibition of recombinant human carbonic anhydrase 2 using 4-nitrophenylacetate as substrate pretreated for 15 mins prior to test by spectrophotometric method";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028809";"1";"Scientific Literature";"Eur J Med Chem";"2017";"None";"";"";"";"0.055"
"CHEMBL319239";"";"None";"275.40";"0";"1.59";"3j";"NS(=O)(=O)c1ccc(SCCCCCO)cc1";"IC50";"'='";"4.3";"nM";"8.37";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL694391";"Inhibitory activity against human carbonic anhydrase II using pH stat assay";"F";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125912";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"4.3"
"CHEMBL218490";"DORZOLAMIDE";"4.0";"324.45";"0";"0.61";"1";"CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21";"IC50";"'='";"43.0";"nM";"7.37";"";"";"UO_0000065";"22.70";"0.53";"6.76";"6.93";"0";"CHEMBL3419422";"Inhibition of human carbonic anhydrase 2 assessed as reduction in enzyme activity incubated for 30 mins by fluorescence polarization assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL205";"Carbonic anhydrase 2";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414464";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"43.0"
